GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ece-493-cms,com.ece493.cms.repository,JdbcPaperSubmissionDraftRepository,0,360,0,10,0,98,0,13,0,8
ece-493-cms,com.ece493.cms.repository,JdbcPaperSubmissionRepository,0,192,0,4,0,51,0,6,0,4
ece-493-cms,com.ece493.cms.repository,JdbcRefereeAssignmentRepository,0,122,0,2,0,36,0,5,0,4
ece-493-cms,com.ece493.cms.repository,JdbcUserAccountRepository,0,248,0,6,0,70,0,9,0,6
ece-493-cms,com.ece493.cms.model,UserAccount,11,62,0,0,2,20,1,10,1,10
ece-493-cms,com.ece493.cms.model,MetadataValidationResult,0,27,0,0,0,8,0,5,0,5
ece-493-cms,com.ece493.cms.model,PasswordChangeRequest,0,21,0,0,0,8,0,4,0,4
ece-493-cms,com.ece493.cms.model,DraftSaveRequest,0,45,0,0,0,16,0,8,0,8
ece-493-cms,com.ece493.cms.model,DraftSaveResult,7,35,0,0,1,10,1,6,1,6
ece-493-cms,com.ece493.cms.model,PaperSubmission,0,63,0,0,0,22,0,11,0,11
ece-493-cms,com.ece493.cms.model,LoginSubmission,0,15,0,0,0,6,0,3,0,3
ece-493-cms,com.ece493.cms.model,DeliveryFailureRecord,3,24,0,0,1,9,1,4,1,4
ece-493-cms,com.ece493.cms.model,PaperSubmissionDraft,0,57,0,0,0,20,0,10,0,10
ece-493-cms,com.ece493.cms.model,RefereeAssignmentResult,0,42,0,0,0,11,0,7,0,7
ece-493-cms,com.ece493.cms.model,PaperSubmissionRequest,0,62,0,0,0,20,0,10,0,10
ece-493-cms,com.ece493.cms.model,RegistrationResult,0,42,0,2,0,11,0,8,0,7
ece-493-cms,com.ece493.cms.model,RefereeAssignment,27,0,0,0,10,0,5,0,5,0
ece-493-cms,com.ece493.cms.model,PasswordChangeResult,0,35,0,0,0,10,0,6,0,6
ece-493-cms,com.ece493.cms.model,ReviewerWorkload,0,31,0,2,0,9,0,6,0,5
ece-493-cms,com.ece493.cms.model,RegistrationSubmission,21,0,0,0,8,0,4,0,4,0
ece-493-cms,com.ece493.cms.model,Referee,21,0,0,0,8,0,4,0,4,0
ece-493-cms,com.ece493.cms.model,FileValidationResult,0,27,0,0,0,8,0,5,0,5
ece-493-cms,com.ece493.cms.model,ManuscriptFile,0,15,0,0,0,6,0,3,0,3
ece-493-cms,com.ece493.cms.model,ReviewInvitation,0,45,0,0,0,16,0,8,0,8
ece-493-cms,com.ece493.cms.model,LoginResult,0,58,0,2,0,14,0,10,0,9
ece-493-cms,com.ece493.cms.model,PaperSubmissionResult,8,43,0,0,1,12,1,7,1,7
ece-493-cms,com.ece493.cms.security,PasswordHasher,7,51,0,0,2,11,0,4,0,4
ece-493-cms,com.ece493.cms.service,NotificationService,6,0,0,0,2,0,1,0,1,0
ece-493-cms,com.ece493.cms.service,InMemoryEditorNotificationService,0,22,0,0,0,5,0,3,0,3
ece-493-cms,com.ece493.cms.service,RegistrationServiceImpl,0,104,0,18,0,23,0,12,0,3
ece-493-cms,com.ece493.cms.service,DefaultEmailValidationService,0,20,0,4,0,4,0,6,0,4
ece-493-cms,com.ece493.cms.service,InMemoryEmailDeliveryService,0,38,0,2,0,10,0,5,0,4
ece-493-cms,com.ece493.cms.service,DefaultWorkloadCheckService,0,50,0,6,0,13,0,5,0,2
ece-493-cms,com.ece493.cms.service,InMemoryReviewInvitationRepository,4,63,0,4,1,16,1,6,1,4
ece-493-cms,com.ece493.cms.service,FileValidationServiceImpl,0,84,0,20,0,18,0,13,0,3
ece-493-cms,com.ece493.cms.service,PaperSubmissionServiceImpl,0,141,0,20,0,35,0,13,0,3
ece-493-cms,com.ece493.cms.service,DraftSaveServiceImpl,0,252,0,22,0,51,0,16,0,5
ece-493-cms,com.ece493.cms.service,ReviewInvitationService,0,149,0,4,0,32,0,4,0,2
ece-493-cms,com.ece493.cms.service,PasswordChangeServiceImpl,0,139,0,26,0,32,0,16,0,3
ece-493-cms,com.ece493.cms.service,InvitationComposer,0,16,0,0,0,5,0,2,0,2
ece-493-cms,com.ece493.cms.service,DefaultDraftValidationService,0,107,0,34,0,20,0,22,0,5
ece-493-cms,com.ece493.cms.service,DefaultMetadataValidationService,0,91,0,30,0,17,0,20,0,5
ece-493-cms,com.ece493.cms.service,DefaultAuthenticationAvailabilityService,0,5,0,0,0,2,0,2,0,2
ece-493-cms,com.ece493.cms.service,FileStorageService,2,0,0,0,1,0,1,0,1,0
ece-493-cms,com.ece493.cms.service,InMemoryDeliveryFailureRepository,0,38,0,0,0,11,0,3,0,3
ece-493-cms,com.ece493.cms.service,ReviewInvitationService.SendResult,0,15,0,0,0,6,0,3,0,3
ece-493-cms,com.ece493.cms.service,DefaultInvitationValidationService,0,30,0,8,0,6,0,8,0,4
ece-493-cms,com.ece493.cms.service,InMemoryEmailDeliveryService.SentEmail,6,15,0,0,2,6,2,2,2,2
ece-493-cms,com.ece493.cms.service,InMemoryFileStorageService,0,95,0,14,0,23,0,15,0,8
ece-493-cms,com.ece493.cms.service,InMemoryNotificationService,0,136,0,12,0,30,0,14,0,8
ece-493-cms,com.ece493.cms.service,RefereeAssignmentServiceImpl,0,196,0,32,0,51,0,22,0,6
ece-493-cms,com.ece493.cms.service,DefaultPasswordPolicyService,0,61,0,18,0,14,0,11,0,2
ece-493-cms,com.ece493.cms.service,ReviewInvitationService.SendStatus,0,27,0,0,0,5,0,1,0,1
ece-493-cms,com.ece493.cms.service,AuthenticationServiceImpl,0,123,0,22,0,25,0,14,0,3
ece-493-cms,com.ece493.cms.service,DefaultAccountStatusService,0,7,0,0,0,2,0,2,0,2
ece-493-cms,com.ece493.cms.service,InMemoryEditorNotificationService.EditorNotification,3,12,0,0,1,5,1,2,1,2
ece-493-cms,com.ece493.cms.controller,DraftListServlet,0,128,0,10,0,29,0,9,0,4
ece-493-cms,com.ece493.cms.controller,PaperSubmissionListServlet,0,133,0,12,0,29,0,10,0,4
ece-493-cms,com.ece493.cms.controller,RefereeAssignmentServlet,0,250,0,30,0,59,0,23,0,8
ece-493-cms,com.ece493.cms.controller,PaperSubmissionServlet,0,290,0,34,0,64,0,25,0,8
ece-493-cms,com.ece493.cms.controller,ChangePasswordServlet,0,145,0,14,0,34,0,14,0,7
ece-493-cms,com.ece493.cms.controller,LoginServlet,0,141,0,12,0,34,0,13,0,7
ece-493-cms,com.ece493.cms.controller,CmsAppServer,429,38,0,2,72,10,18,2,18,1
ece-493-cms,com.ece493.cms.controller,DraftSaveServlet,0,250,0,32,0,55,0,23,0,7
ece-493-cms,com.ece493.cms.controller,RegistrationServlet,0,133,0,10,0,34,0,12,0,7
ece-493-cms,com.ece493.cms.controller,FileValidationServlet,0,112,0,10,0,24,0,10,0,5
ece-493-cms,com.ece493.cms.controller,DraftViewServlet,0,155,0,14,0,42,0,12,0,5
ece-493-cms,com.ece493.cms.controller,StaticResourceServlet,0,43,0,2,0,14,0,3,0,2
ece-493-cms,com.ece493.cms.db,Db,8,90,0,4,2,22,0,6,0,4
